index a0 a1 a2 a3 a4 a5 a6 a7
0 1071.24226304441 1113.11222630104 925.901016853343 1000.15931094424 41.8699632566336 -71.0829521001712 0 -71.0829521001712
1 1063.34286124159 1162.63555668317 923.243003856427 1048.22152189371 99.2926954415802 -15.1213393478774 0 -15.1213393478774
2 1051.58679924743 1055.56416033985 906.677647041959 931.236565899187 3.97736109241646 -120.350233348245 0 -120.350233348245
3 1078.65470327787 1095.85739257784 927.849665177665 976.026127552339 17.2026892999681 -102.628575725528 0 -102.628575725528
4 1062.28871530936 1068.1849817057 913.936898820503 949.030312533882 5.89626639634025 -113.258402775482 0 -113.258402775482
5 1079.20838475923 1103.99755550334 929.344702224413 994.442555481486 24.7891707441099 -84.7658292777411 0 -84.7658292777411
6 1072.63965918869 1090.59760563026 924.220929519217 965.612550315291 17.9579464415726 -107.027108873398 0 -107.027108873398
7 1100.13878956276 1104.96705606681 938.673084319857 1009.20624073531 4.82826650405582 -90.9325488274459 0 -90.9325488274459
8 1046.16411768759 1068.67301537828 905.523182364202 937.625428891357 22.5088976906948 -108.538688796232 0 -108.538688796232
9 1050.98272683152 1053.58738017678 905.949380233847 929.106226153928 2.60465334525429 -121.876500677594 0 -121.876500677594
10 1061.93854612786 1078.15766885948 915.715907351952 959.976395153869 16.2191227316214 -101.96215097399 0 -101.96215097399
11 1061.70779155964 1093.65507488067 917.242559852954 977.064698340274 31.9472833210248 -84.643093219369 0 -84.643093219369
12 1062.32834302988 1078.14093523652 916.461491489365 950.853057038279 15.8125922066388 -111.475285991606 0 -111.475285991606
13 1104.8698388985 1115.03595678032 943.889451065144 1014.09706896905 10.1661178818208 -90.7727699294518 0 -90.7727699294518
14 1065.01716324938 1068.09220410454 915.437403710946 953.683198497018 3.07504085515802 -111.333964752366 0 -111.333964752366
15 1066.98966651646 1080.9131601054 918.270390255823 969.45319580981 13.9234935889417 -97.5364707066503 0 -97.5364707066503
16 1059.6587123934 1062.37647586158 911.462014168591 943.367834771705 2.71776346818251 -116.290877621695 0 -116.290877621695
17 1073.07030225697 1098.96922840559 924.428650469927 991.903039477266 25.8989261486204 -81.1672627797062 0 -81.1672627797062
18 1061.11582759388 1081.08275138528 915.920848850372 962.901336497502 19.9669237913938 -98.2144910963808 0 -98.2144910963808
19 1056.43590296663 1064.13304938212 910.873072826965 938.452154069625 7.69714641549263 -117.983748897006 0 -117.983748897006
20 1069.52272858411 1082.05093260692 919.936025499759 971.259577004774 12.5282040228035 -98.2631515793412 0 -98.2631515793412
21 1049.22616695701 1076.39410436716 907.605512045894 956.055957443983 27.1679374101495 -93.1702095130313 0 -93.1702095130313
22 1059.35894158319 1064.97278985779 912.575794928467 938.749462248172 5.61384827460347 -120.609479335015 0 -120.609479335015
23 1058.69845707369 1059.71702149443 910.587229488176 937.331844536078 1.01856442073404 -121.366612537615 0 -121.366612537615
24 1045.17226962139 1049.52460637215 902.607044339068 921.513064538859 4.35233675076483 -123.659205082528 0 -123.659205082528
25 1045.69043698303 1057.50027062906 904.061175706936 929.302068911962 11.8098336460218 -116.388368071073 0 -116.388368071073
26 1085.97452734933 1110.43213571496 934.37909588153 992.096966633726 24.4576083656302 -93.8775607156055 0 -93.8775607156055
27 1050.62785858205 1093.09259634081 910.089812782288 970.075338039302 42.4647377587653 -80.552520542746 0 -80.552520542746
28 1061.10802371509 1160.12077572736 921.080482173642 1043.45380299213 99.0127520122617 -17.6542207229668 0 -17.6542207229668
29 1049.08229276675 1067.12324771532 907.367113169183 937.752158729724 18.0409549485682 -111.330134037029 0 -111.330134037029
30 1053.21571701186 1092.66848643975 911.585713736358 970.044537267322 39.4527694278897 -83.1711797445386 0 -83.1711797445386
31 1082.29503430064 1093.32049915318 929.177529365194 982.526462623439 11.0254648525427 -99.7685716771972 0 -99.7685716771972
32 1047.47977903522 1085.5367770327 907.081700097975 953.574570110925 38.0569979974832 -93.9052089242928 0 -93.9052089242928
33 1082.60324567647 1125.73232660811 934.240958674653 1021.72495237869 43.1290809316406 -60.8782932977795 0 -60.8782932977795
34 1056.79157083968 1082.4113741844 913.257822812445 963.174489035389 25.6198033447263 -93.6170818042874 0 -93.6170818042874
35 1081.76862903774 1096.95195197519 928.746449164909 992.307058792859 15.1833229374533 -89.4615702448802 0 -89.4615702448802
36 1045.40911267536 1091.03178244898 905.666326054396 963.213429085501 45.6226697736222 -82.195683589855 0 -82.195683589855
37 1064.92126781996 1159.29820047424 924.507488452891 1048.60432286128 94.3769326542858 -16.3169449586746 0 -16.3169449586746
38 1051.49888440676 1061.93072395404 907.920452057066 935.714119075165 10.4318395472803 -115.784765331597 0 -115.784765331597
39 1081.51143835902 1097.61837420922 929.202378336615 987.27973467333 16.1069358501941 -94.2317036856915 0 -94.2317036856915
40 1052.28503646151 1057.17785029483 907.689906261447 929.325303046541 4.89281383332082 -122.959733414971 0 -122.959733414971
41 1075.33960510102 1083.49014137084 923.621959391502 964.326770817354 8.15053626981467 -111.012834283671 0 -111.012834283671
42 1065.17469114825 1110.75444015562 921.293926248087 989.889368384739 45.5797490073708 -75.2853227635148 0 -75.2853227635148
43 1058.45711249672 1086.06470929776 914.909404810316 959.848912054102 27.6075968010357 -98.6082004426211 0 -98.6082004426211
44 1070.00062896558 1098.44483355009 922.749033994059 991.121062845172 28.4442045845153 -78.8795661204077 0 -78.8795661204077
45 1094.13682846134 1122.08307264636 939.872214428603 1028.01605128577 27.9462441850167 -66.120777175573 0 -66.120777175573
46 1049.30020745069 1076.93138675244 907.510831281896 956.145980277825 27.6311793017524 -93.1542271728651 0 -93.1542271728651
47 1065.96021826545 1070.74567782258 916.920496642621 946.450968692482 4.78545955712366 -119.50924957297 0 -119.50924957297
48 1062.00042750763 1145.61193275062 921.101568788716 1026.63064091377 83.6115052429857 -35.3697865938659 0 -35.3697865938659
49 1078.38473965077 1078.81659236545 923.223703328929 966.749017256076 0.431852714678371 -111.635722394694 0 -111.635722394694
50 1054.26499601798 1130.02194775688 914.105625944746 1014.42462626555 75.7569517388988 -39.8403697524325 0 -39.8403697524325
51 1043.57437210761 1097.9914842063 904.41954664202 970.929690819741 54.4171120986905 -72.6446812878689 0 -72.6446812878689
